epoch,train_error,val_error
675,0.050271,0.053558
676,0.050271,0.053556
677,0.050270,0.053555
678,0.050270,0.053553
679,0.050269,0.053552
680,0.050269,0.053551
681,0.050269,0.053549
682,0.050268,0.053548
683,0.050268,0.053547
684,0.050267,0.053545
685,0.050267,0.053544
686,0.050267,0.053542
687,0.050266,0.053541
688,0.050266,0.053540
689,0.050265,0.053538
690,0.050265,0.053537
691,0.050265,0.053536
692,0.050264,0.053535
693,0.050264,0.053533
694,0.050264,0.053532
695,0.050263,0.053531
696,0.050263,0.053529
697,0.050262,0.053528
698,0.050262,0.053527
699,0.050262,0.053525
700,0.050261,0.053524
701,0.050261,0.053523
702,0.050261,0.053522
703,0.050260,0.053520
704,0.050260,0.053519
705,0.050260,0.053518
706,0.050259,0.053517
707,0.050259,0.053515
708,0.050259,0.053514
709,0.050258,0.053513
710,0.050258,0.053512
711,0.050258,0.053510
712,0.050257,0.053509
713,0.050257,0.053508
714,0.050257,0.053507
715,0.050256,0.053505
716,0.050256,0.053504
717,0.050256,0.053503
718,0.050255,0.053502
719,0.050255,0.053501
720,0.050255,0.053499
721,0.050254,0.053498
722,0.050254,0.053497
723,0.050254,0.053496
724,0.050254,0.053495
725,0.050253,0.053493
726,0.050253,0.053492
727,0.050253,0.053491
728,0.050252,0.053490
729,0.050252,0.053489
730,0.050252,0.053488
731,0.050252,0.053486
732,0.050251,0.053485
733,0.050251,0.053484
734,0.050251,0.053483
735,0.050250,0.053482
736,0.050250,0.053481
737,0.050250,0.053480
738,0.050250,0.053478
739,0.050249,0.053477
740,0.050249,0.053476
741,0.050249,0.053475
742,0.050249,0.053474
743,0.050248,0.053473
744,0.050248,0.053472
745,0.050248,0.053471
746,0.050248,0.053470
747,0.050247,0.053468
748,0.050247,0.053467
749,0.050247,0.053466
750,0.050247,0.053465
751,0.050246,0.053464
752,0.050246,0.053463
753,0.050246,0.053462
754,0.050246,0.053461
755,0.050245,0.053460
756,0.050245,0.053459
757,0.050245,0.053458
758,0.050245,0.053457
759,0.050244,0.053456
760,0.050244,0.053455
761,0.050244,0.053453
762,0.050244,0.053452
763,0.050244,0.053451
764,0.050243,0.053450
765,0.050243,0.053449
766,0.050243,0.053448
767,0.050243,0.053447
768,0.050242,0.053446
769,0.050242,0.053445
770,0.050242,0.053444
771,0.050242,0.053443
772,0.050242,0.053442
773,0.050241,0.053441
774,0.050241,0.053440
775,0.050241,0.053439
776,0.050241,0.053438
777,0.050241,0.053437
778,0.050240,0.053436
779,0.050240,0.053435
780,0.050240,0.053434
781,0.050240,0.053433
782,0.050240,0.053432
783,0.050239,0.053431
784,0.050239,0.053430
785,0.050239,0.053429
786,0.050239,0.053428
787,0.050239,0.053427
788,0.050238,0.053426
789,0.050238,0.053425
790,0.050238,0.053424
791,0.050238,0.053424
792,0.050238,0.053423
793,0.050238,0.053422
794,0.050237,0.053421
795,0.050237,0.053420
796,0.050237,0.053419
797,0.050237,0.053418
798,0.050237,0.053417
799,0.050237,0.053416
800,0.050236,0.053415
801,0.050236,0.053414
802,0.050236,0.053413
803,0.050236,0.053412
804,0.050236,0.053411
805,0.050236,0.053411
806,0.050235,0.053410
807,0.050235,0.053409
808,0.050235,0.053408
809,0.050235,0.053407
810,0.050235,0.053406
811,0.050235,0.053405
812,0.050234,0.053404
813,0.050234,0.053403
814,0.050234,0.053402
815,0.050234,0.053402
816,0.050234,0.053401
817,0.050234,0.053400
818,0.050234,0.053399
819,0.050233,0.053398
820,0.050233,0.053397
821,0.050233,0.053396
822,0.050233,0.053396
823,0.050233,0.053395
824,0.050233,0.053394
825,0.050232,0.053393
826,0.050232,0.053392
827,0.050232,0.053391
828,0.050232,0.053390
829,0.050232,0.053390
830,0.050232,0.053389
831,0.050232,0.053388
832,0.050232,0.053387
833,0.050231,0.053386
834,0.050231,0.053385
835,0.050231,0.053385
836,0.050231,0.053384
837,0.050231,0.053383
838,0.050231,0.053382
839,0.050231,0.053381
840,0.050230,0.053380
841,0.050230,0.053380
842,0.050230,0.053379
843,0.050230,0.053378
844,0.050230,0.053377
845,0.050230,0.053376
846,0.050230,0.053376
847,0.050230,0.053375
848,0.050229,0.053374
849,0.050229,0.053373
850,0.050229,0.053372
851,0.050229,0.053372
852,0.050229,0.053371
853,0.050229,0.053370
854,0.050229,0.053369
855,0.050229,0.053369
856,0.050229,0.053368
857,0.050228,0.053367
858,0.050228,0.053366
859,0.050228,0.053366
860,0.050228,0.053365
861,0.050228,0.053364
862,0.050228,0.053363
863,0.050228,0.053362
864,0.050228,0.053362
865,0.050228,0.053361
866,0.050227,0.053360
867,0.050227,0.053359
868,0.050227,0.053359
869,0.050227,0.053358
870,0.050227,0.053357
871,0.050227,0.053357
872,0.050227,0.053356
873,0.050227,0.053355
874,0.050227,0.053354
875,0.050227,0.053354
876,0.050226,0.053353
877,0.050226,0.053352
878,0.050226,0.053351
879,0.050226,0.053351
880,0.050226,0.053350
881,0.050226,0.053349
882,0.050226,0.053349
883,0.050226,0.053348
884,0.050226,0.053347
885,0.050226,0.053346
886,0.050226,0.053346
887,0.050225,0.053345
888,0.050225,0.053344
889,0.050225,0.053344
890,0.050225,0.053343
891,0.050225,0.053342
892,0.050225,0.053342
893,0.050225,0.053341
894,0.050225,0.053340
895,0.050225,0.053340
896,0.050225,0.053339
897,0.050225,0.053338
898,0.050224,0.053337
899,0.050224,0.053337
900,0.050224,0.053336
901,0.050224,0.053335
902,0.050224,0.053335
903,0.050224,0.053334
904,0.050224,0.053333
905,0.050224,0.053333
906,0.050224,0.053332
907,0.050224,0.053331
908,0.050224,0.053331
909,0.050224,0.053330
910,0.050223,0.053330
911,0.050223,0.053329
912,0.050223,0.053328
913,0.050223,0.053328
914,0.050223,0.053327
915,0.050223,0.053326
916,0.050223,0.053326
917,0.050223,0.053325
918,0.050223,0.053324
919,0.050223,0.053324
920,0.050223,0.053323
921,0.050223,0.053322
922,0.050223,0.053322
923,0.050223,0.053321
924,0.050222,0.053321
925,0.050222,0.053320
926,0.050222,0.053319
927,0.050222,0.053319
928,0.050222,0.053318
929,0.050222,0.053318
930,0.050222,0.053317
931,0.050222,0.053316
932,0.050222,0.053316
933,0.050222,0.053315
934,0.050222,0.053314
935,0.050222,0.053314
936,0.050222,0.053313
937,0.050222,0.053313
938,0.050222,0.053312
939,0.050221,0.053312
940,0.050221,0.053311
941,0.050221,0.053310
942,0.050221,0.053310
943,0.050221,0.053309
944,0.050221,0.053309
945,0.050221,0.053308
946,0.050221,0.053307
947,0.050221,0.053307
948,0.050221,0.053306
949,0.050221,0.053306
950,0.050221,0.053305
951,0.050221,0.053305
952,0.050221,0.053304
953,0.050221,0.053303
954,0.050221,0.053303
955,0.050221,0.053302
956,0.050220,0.053302
957,0.050220,0.053301
958,0.050220,0.053301
959,0.050220,0.053300
960,0.050220,0.053299
961,0.050220,0.053299
962,0.050220,0.053298
963,0.050220,0.053298
964,0.050220,0.053297
965,0.050220,0.053297
966,0.050220,0.053296
967,0.050220,0.053296
968,0.050220,0.053295
969,0.050220,0.053295
970,0.050220,0.053294
971,0.050220,0.053293
972,0.050220,0.053293
973,0.050220,0.053292
974,0.050220,0.053292
975,0.050219,0.053291
976,0.050219,0.053291
977,0.050219,0.053290
978,0.050219,0.053290
979,0.050219,0.053289
980,0.050219,0.053289
981,0.050219,0.053288
982,0.050219,0.053288
983,0.050219,0.053287
984,0.050219,0.053287
985,0.050219,0.053286
986,0.050219,0.053286
987,0.050219,0.053285
988,0.050219,0.053285
989,0.050219,0.053284
990,0.050219,0.053284
991,0.050219,0.053283
992,0.050219,0.053283
993,0.050219,0.053282
994,0.050219,0.053282
995,0.050219,0.053281
996,0.050219,0.053281
997,0.050218,0.053280
998,0.050218,0.053280
999,0.050218,0.053279
1000,0.050218,0.053279
1001,0.050218,0.053278
1002,0.050218,0.053278
1003,0.050218,0.053277
1004,0.050218,0.053277
1005,0.050218,0.053276
1006,0.050218,0.053276
1007,0.050218,0.053275
1008,0.050218,0.053275
1009,0.050218,0.053274
1010,0.050218,0.053274
1011,0.050218,0.053273
1012,0.050218,0.053273
1013,0.050218,0.053272
1014,0.050218,0.053272
1015,0.050218,0.053271
1016,0.050218,0.053271
1017,0.050218,0.053271
1018,0.050218,0.053270
1019,0.050218,0.053270
1020,0.050218,0.053269
1021,0.050218,0.053269
1022,0.050218,0.053268
1023,0.050217,0.053268
1024,0.050217,0.053267
1025,0.050217,0.053267
1026,0.050217,0.053266
1027,0.050217,0.053266
1028,0.050217,0.053266
1029,0.050217,0.053265
1030,0.050217,0.053265
1031,0.050217,0.053264
1032,0.050217,0.053264
1033,0.050217,0.053263
1034,0.050217,0.053263
1035,0.050217,0.053262
1036,0.050217,0.053262
1037,0.050217,0.053262
1038,0.050217,0.053261
1039,0.050217,0.053261
1040,0.050217,0.053260
1041,0.050217,0.053260
1042,0.050217,0.053259
1043,0.050217,0.053259
1044,0.050217,0.053259
1045,0.050217,0.053258
1046,0.050217,0.053258
1047,0.050217,0.053257
1048,0.050217,0.053257
1049,0.050217,0.053257
1050,0.050217,0.053256
1051,0.050217,0.053256
1052,0.050217,0.053255
1053,0.050217,0.053255
1054,0.050217,0.053254
1055,0.050216,0.053254
1056,0.050216,0.053254
1057,0.050216,0.053253
1058,0.050216,0.053253
1059,0.050216,0.053252
1060,0.050216,0.053252
1061,0.050216,0.053252
1062,0.050216,0.053251
1063,0.050216,0.053251
1064,0.050216,0.053250
1065,0.050216,0.053250
1066,0.050216,0.053250
1067,0.050216,0.053249
1068,0.050216,0.053249
1069,0.050216,0.053248
1070,0.050216,0.053248
1071,0.050216,0.053248
1072,0.050216,0.053247
1073,0.050216,0.053247
1074,0.050216,0.053246
1075,0.050216,0.053246
1076,0.050216,0.053246
1077,0.050216,0.053245
1078,0.050216,0.053245
1079,0.050216,0.053245
1080,0.050216,0.053244
1081,0.050216,0.053244
1082,0.050216,0.053243
1083,0.050216,0.053243
1084,0.050216,0.053243
1085,0.050216,0.053242
1086,0.050216,0.053242
1087,0.050216,0.053242
1088,0.050216,0.053241
1089,0.050216,0.053241
1090,0.050216,0.053240
1091,0.050216,0.053240
1092,0.050216,0.053240
1093,0.050216,0.053239
1094,0.050216,0.053239
1095,0.050216,0.053239
1096,0.050215,0.053238
1097,0.050215,0.053238
1098,0.050215,0.053238
1099,0.050215,0.053237
1100,0.050215,0.053237
1101,0.050215,0.053237
1102,0.050215,0.053236
1103,0.050215,0.053236
1104,0.050215,0.053235
1105,0.050215,0.053235
1106,0.050215,0.053235
1107,0.050215,0.053234
1108,0.050215,0.053234
